best_params,model_name,target,rmse_train,rmse_test,mae_test,r2_test,overfit_ratio,split_seed,track,feature_set
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20}",RF,P_kbar,1.1249182080342088,7.824155700670725,5.627636121122414,0.4105309091712229,0.14377502839543124,45,opx_liq,pwlr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.66, 'max_depth': None}",ERT,T_C,0.0,81.1977212727008,54.14227111586925,0.8192945493126096,0.0,45,opx_liq,pwlr
"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.33, 'max_depth': None}",ERT,P_kbar,1.027814873780013,8.288478756128784,6.00228734520529,0.33849104720845735,0.12400524921657205,45,opx_liq,pwlr
"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 1, 'n_estimators': 800, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",XGB,T_C,9.674881373694392,101.4412273511873,68.06183943159965,0.7179587959348945,0.09537425390369308,45,opx_liq,pwlr
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 1, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",XGB,P_kbar,1.2121432096019122,7.013383517254978,5.328408045126658,0.5263677724721176,0.17283287112699383,45,opx_liq,pwlr
"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 500, 'max_depth': None, 'learning_rate': 0.1, 'l2_regularization': 0.0}",GB,T_C,27.88200573522693,85.14647284826225,57.777427704001425,0.8012912944620645,0.3274593157242681,45,opx_liq,pwlr
"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 500, 'max_depth': None, 'learning_rate': 0.1, 'l2_regularization': 0.0}",GB,P_kbar,1.5275421239200297,6.065917285665794,4.651177692053211,0.6456935676587299,0.2518237641534815,45,opx_liq,pwlr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.66, 'max_depth': 10}",RF,T_C,5.373093045120263,74.39566088305493,55.918054770340746,0.849065254958956,0.07222320470499496,46,opx_liq,raw
"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.66, 'max_depth': None}",RF,P_kbar,1.0141564276369108,6.155835009576408,4.083727711130273,0.6648823208820371,0.16474717500700145,46,opx_liq,raw
"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.66, 'max_depth': 20}",ERT,T_C,16.929883176700866,71.25616005123608,49.906624719976996,0.8615353721313654,0.2375918540169382,46,opx_liq,raw
"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}",ERT,P_kbar,2.130568517565031,7.248184842706365,4.954201053768636,0.5353970987323011,0.2939451136802836,46,opx_liq,raw
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 10, 'n_estimators': 800, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",XGB,T_C,0.6778167463360981,79.86064633989783,61.45908643155347,0.8260759440213532,0.008487493870901287,46,opx_liq,raw
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",XGB,P_kbar,0.5584023877772916,5.195005924279111,3.892201257073257,0.7613312868649061,0.10748830625342909,46,opx_liq,raw
"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 500, 'max_depth': 3, 'learning_rate': 0.01, 'l2_regularization': 1.0}",GB,T_C,48.09989765361463,75.94193930890323,60.1573230351026,0.8427258379145544,0.6333772628318373,46,opx_liq,raw
