perturbation,regime,n,edges,a,b,pre_rmse,pre_lo,pre_hi,post_rmse,post_lo,post_hi,delta_rmse,pipeline,track,target,model,feature_set,seed,ships,overall_delta,max_regime_degradation
inner_p1,lithospheric_mantle,123,"[0.0, 6.0, 16.0, 31.0, 100.0]",0.24333055669766882,17.994453042882974,5.039305229681477,4.309284184851634,5.797046458961759,4.080360779923425,3.7429565095229176,4.385276669918748,0.9589444497580519,cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,True,1.0894048034242267,-0.12338517177792241
inner_p1,deeper_mantle,20,"[0.0, 6.0, 16.0, 31.0, 100.0]",0.3309138911563062,44.058590834297156,28.450987810345687,10.143720844739468,42.73435028653114,28.327602638567765,16.84637337756343,41.237154903047305,0.12338517177792241,cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,True,1.0894048034242267,-0.12338517177792241
inner_p1,ALL,654,"[0.0, 6.0, 16.0, 31.0, 100.0]",,,6.536933084091076,4.447623757609691,8.982185160261755,5.447528280666849,3.4166183349240575,7.951127388053467,1.0894048034242267,cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,True,1.0894048034242267,-0.12338517177792241
base,shallow_crustal,268,"[0.0, 5.0, 15.0, 30.0, 100.0]",0.8608910215241471,139.05280408890303,44.18462048563086,37.58581403874921,50.26223771630701,43.562900902527694,36.63756837849122,49.86258968172402,0.6217195831031646,cpx,cpx_liq,T_C,ERT,pwlr,42,False,3.5490283376433354,0.8988063093807881
base,deep_crustal_MASH,187,"[0.0, 5.0, 15.0, 30.0, 100.0]",0.9810032856208466,24.466743522037405,51.13399192862783,40.55805033825384,63.248141127715485,50.420963328585565,39.8458035400608,62.208425733752776,0.7130286000422643,cpx,cpx_liq,T_C,ERT,pwlr,42,False,3.5490283376433354,0.8988063093807881
base,lithospheric_mantle,143,"[0.0, 5.0, 15.0, 30.0, 100.0]",1.0009505290218645,9.433312990877084,77.93543289301586,67.60270046657955,87.30580932228224,78.83423920239665,67.74141773142146,88.98108490530123,-0.8988063093807881,cpx,cpx_liq,T_C,ERT,pwlr,42,False,3.5490283376433354,0.8988063093807881
base,deeper_mantle,56,"[0.0, 5.0, 15.0, 30.0, 100.0]",1.0131538978561245,36.53021850277537,166.75531828122826,95.53194361303376,241.95312221146528,148.6179638619188,81.56788089199837,219.93049678995197,18.137354419309446,cpx,cpx_liq,T_C,ERT,pwlr,42,False,3.5490283376433354,0.8988063093807881
base,ALL,654,"[0.0, 5.0, 15.0, 30.0, 100.0]",,,72.50372132797949,58.28145290286819,88.06737169222805,68.95469299033616,56.066835466433275,83.0220449936687,3.5490283376433354,cpx,cpx_liq,T_C,ERT,pwlr,42,False,3.5490283376433354,0.8988063093807881
inner_m1,shallow_crustal,259,"[0.0, 4.0, 14.0, 29.0, 100.0]",0.8548007468452224,147.17099339804622,43.815754750412744,37.202101448216055,50.33297773752637,43.49744439915669,36.17238222088493,50.18715514862515,0.3183103512560521,cpx,cpx_liq,T_C,ERT,pwlr,42,False,3.1903274745780124,1.1057956738456056
inner_m1,deep_crustal_MASH,195,"[0.0, 4.0, 14.0, 29.0, 100.0]",0.9983411610671987,0.9266845963893502,51.384898009879244,41.54984385212286,64.43853514211857,51.678959652855475,41.90676048953089,64.6936750967482,-0.2940616429762315,cpx,cpx_liq,T_C,ERT,pwlr,42,False,3.1903274745780124,1.1057956738456056
inner_m1,lithospheric_mantle,144,"[0.0, 4.0, 14.0, 29.0, 100.0]",0.9973613566350801,14.189659507726219,77.6663354981771,68.4034591081236,87.0780809999723,78.77213117202271,68.51068630257066,88.75695850185787,-1.1057956738456056,cpx,cpx_liq,T_C,ERT,pwlr,42,False,3.1903274745780124,1.1057956738456056
inner_m1,deeper_mantle,56,"[0.0, 4.0, 14.0, 29.0, 100.0]",1.0138182810471021,35.31322396806149,166.75531828122826,95.53194361303376,241.95312221146528,148.6661578524839,81.55642321836312,220.02264689813518,18.08916042874435,cpx,cpx_liq,T_C,ERT,pwlr,42,False,3.1903274745780124,1.1057956738456056
inner_m1,ALL,654,"[0.0, 4.0, 14.0, 29.0, 100.0]",,,72.50372132797949,58.28145290286819,88.06737169222805,69.31339385340148,56.40800452484292,83.346228936487,3.1903274745780124,cpx,cpx_liq,T_C,ERT,pwlr,42,False,3.1903274745780124,1.1057956738456056
