pipeline,track,target,model,feature_set,seed,aug_n_copies,aug_rel_noise,pre_rmse_all,post_rmse_a,post_rmse_b,ship_a,ship_b,winner,form_a_overall_delta,form_a_max_regime_degr,form_b_overall_delta,form_b_max_regime_degr,form_b_alpha_L,form_b_alpha_R,form_b_a_L,form_b_a_R,form_b_s_L,form_b_s_R
opx,opx_only,P_kbar,RF,pwlr,60,15,0.03,12.37900494719295,5.976332921918381,12.361452078084316,True,False,A,6.402672025274569,-2.845649113146684,0.017552869108634184,1.250496502295018,0.05,0.55,2.7879926492960747,15.55510058025105,1.772322059421474,0.4518458918230318
opx,opx_only,P_kbar,RF,pwlr,61,15,0.03,12.263008533851634,5.976435554360172,12.294432952141507,True,False,A,6.286572979491462,-2.824593616391121,-0.0314244182898733,0.8676390303233887,0.21000000000000002,0.9099999999999999,9.097337175574578,31.959857244639743,0.2337896644741614,1.5333029772749103
opx,opx_only,T_C,LightGBM,alr,42,15,0.03,196.11665092277045,148.08769621939706,192.12935740493566,True,False,A,48.02895470337339,-11.751139980120385,3.987293517834786,0.9878681248266901,0.45,0.87,1257.265506457108,1410.8737120330275,0.06373277484609705,1.2025061953236935
opx,opx_only,T_C,LightGBM,alr,43,15,0.03,195.22464185800123,148.93360468489053,190.49827201106643,True,False,A,46.29103717311071,-9.39983937861733,4.7263698469348014,0.3275320236106438,0.45,0.8300000000000001,1255.5517817834018,1387.1003000138035,0.06044562465959369,0.9000172812966776
opx,opx_only,T_C,LightGBM,alr,44,15,0.03,196.66251548873035,147.74911297443424,191.88307728436914,True,False,A,48.91340251429611,-10.498815582627955,4.779438204361213,0.00485916071710335,0.45,0.8300000000000001,1255.516596491263,1385.0205971780772,0.06670389034265449,1.0043202061898
opx,opx_only,T_C,LightGBM,alr,45,15,0.03,197.78585219422718,149.7235364529138,193.23461389980372,True,False,A,48.06231574131337,-13.626907571308507,4.551238294423456,0.0626836483784814,0.45,0.8300000000000001,1253.5531851794299,1390.2183532200443,0.057699712301676066,1.0007851868831334
opx,opx_only,T_C,LightGBM,alr,46,15,0.03,195.06239365684493,146.49113497051601,190.3142894455185,True,False,A,48.57125868632892,-11.324978688843586,4.748104211326421,0.8425618144880787,0.45,0.8300000000000001,1251.6081626409332,1388.2848163180047,0.08892183325847937,0.9570081853434926
opx,opx_only,T_C,LightGBM,alr,47,15,0.03,192.86783227937943,147.19083702945557,188.5967428539841,True,True,A,45.67699524992386,-9.14334859877286,4.271089425395331,-0.6583002672750524,0.41,0.79,1235.8733816020213,1371.604798783643,0.05445743845578318,0.7566167195626127
opx,opx_only,T_C,LightGBM,alr,48,15,0.03,194.3866635101558,145.1304380745114,190.19547013754084,True,False,A,49.25622543564441,-9.331482492948666,4.1911933726149755,0.8444897663642337,0.45,0.8300000000000001,1257.1574471162498,1393.931825729438,0.06772565276046118,1.045476814374218
opx,opx_only,T_C,LightGBM,alr,49,15,0.03,193.36354559250168,145.59303879476352,189.09495553010902,True,False,A,47.770506797738165,-6.381196667526282,4.268590062392661,0.10588959455100166,0.45,0.8300000000000001,1254.1956700883352,1383.6003227839076,0.059005746764131284,1.0865771586701027
opx,opx_only,T_C,LightGBM,alr,50,15,0.03,192.6401921106051,144.32844463730402,188.22009696584783,True,False,A,48.3117474733011,-11.109582591748847,4.420095144757283,1.3988668722543878,0.45,0.87,1252.2668648761987,1409.8956360904815,0.08975946435797526,1.2768210552369172
opx,opx_only,T_C,LightGBM,alr,51,15,0.03,195.3180371742796,145.87301624676323,191.14876133532331,True,True,A,49.44502092751637,-12.611544552559806,4.169275838956281,-0.3036709410008882,0.41,0.79,1244.0208155312955,1374.3444765169324,0.061406860433333904,0.7786348282336
opx,opx_only,T_C,LightGBM,alr,52,15,0.03,196.99932063265462,149.28825493029385,192.08854090805653,True,True,A,47.71106570236077,-12.395186812627685,4.910779724598086,-0.644585501466878,0.41,0.79,1235.3298248379317,1370.6146790293355,0.06395754471351994,0.8421574531387908
opx,opx_only,T_C,LightGBM,alr,53,15,0.03,195.1813968192697,146.9390413710457,190.97919193567964,True,False,A,48.242355448224004,-11.302797547311073,4.2022048835900705,0.2966317742227602,0.45,0.8300000000000001,1250.7734943559212,1386.177882668476,0.06181364126962757,0.9557554220518122
opx,opx_only,T_C,LightGBM,alr,54,15,0.03,193.7117527606854,145.43668930174553,188.60468619477342,True,False,A,48.27506345893988,-7.973912535204221,5.1070665659119925,0.6292213477258315,0.45,0.8300000000000001,1252.5979547454501,1382.9491272284686,0.08070668363886015,1.017332436644821
opx,opx_only,T_C,LightGBM,alr,55,15,0.03,195.03820061560816,145.67825671961236,190.6837882993361,True,False,A,49.3599438959958,-11.729361570602322,4.354412316272061,1.5655369004283557,0.45,0.8300000000000001,1257.6062086296981,1390.0077553857006,0.07597076591525505,0.9926095852372245
opx,opx_only,T_C,LightGBM,alr,56,15,0.03,194.3189156491727,145.431674896359,189.01620515827437,True,False,A,48.88724075281371,-11.116164755318323,5.302710490898335,1.2899046286992757,0.45,0.8300000000000001,1251.2348958804766,1387.5335397733593,0.09099195601910195,1.0624833270370506
opx,opx_only,T_C,LightGBM,alr,57,15,0.03,195.43294365367905,147.9870875773768,191.2320095542656,True,False,A,47.44585607630225,-8.61633777838513,4.200934099413445,0.07251824271051532,0.45,0.8300000000000001,1258.9082804680686,1387.9342299272544,0.053810651744819776,1.0088160353053552
opx,opx_only,T_C,LightGBM,alr,58,15,0.03,193.7954471426856,145.28255597609768,188.59332907824518,True,False,A,48.512891166587906,-10.140528465622467,5.202118064440413,0.7057811736638087,0.45,0.8300000000000001,1248.0214342999461,1389.907561014712,0.08790883478652935,1.0196908422924795
opx,opx_only,T_C,LightGBM,alr,59,15,0.03,194.9555378583103,147.7964930693705,190.39327910986285,True,False,A,47.15904478893978,-12.653099339411696,4.562258748447448,1.2688676941773451,0.45,0.87,1259.2255239565984,1408.636093512002,0.0589053208164328,1.1996251181802764
opx,opx_only,T_C,LightGBM,alr,60,15,0.03,195.67724627537223,145.58831657668173,190.83132569759897,True,False,A,50.08892969869049,-13.568907183389655,4.845920577773256,0.6265565877794472,0.45,0.8300000000000001,1250.4553634734252,1385.8461961053333,0.0742082102612703,0.9894665998913744
opx,opx_only,T_C,LightGBM,alr,61,15,0.03,195.33831698624041,145.1521373853378,190.5219346057314,True,True,A,50.18617960090262,-13.046249372142682,4.816382380509026,-0.02744813133756452,0.45,0.8300000000000001,1255.9613121103414,1384.1465071501332,0.06700451843713019,1.0318445061612238
