sample_id,tectonic_setting,KD_FeMg_opx_cpx,equilibrium_flag,delta_ours_vs_putirka_twopx_eq36,delta_ours_vs_putirka_twopx_eq37,delta_ours_vs_putirka_twopx_eq39,delta_ours_vs_putirka_twopx_eq38,delta_ours_T_vs_putirka_cpxonly_eq32d,delta_ours_P_vs_putirka_opxonly_eq29c
[18984] SCOTT J. M. (2014)|samp. WAI-13,INTRAPLATE VOLCANICS,1.056495204882302,True,48.760200456695884,13.868696623705773,3.4679848472219064,0.8784979166086924,-142.0354997394395,4.991065373655964
[18984] SCOTT J. M. (2014)|samp. WAI-3,INTRAPLATE VOLCANICS,0.8504050557071109,False,138.72248347960556,145.48889536858394,6.790305936412254,-0.9988651621203921,-159.13368698105523,6.176458620257929
[18984] SCOTT J. M. (2014)|samp. WAI-4,INTRAPLATE VOLCANICS,1.0042246861988504,True,62.72278314480593,35.68799625167708,5.175109325946959,1.4430716823167682,-139.78818424977158,5.708815446986687
[18984] SCOTT J. M. (2014)|samp. WAI-8,INTRAPLATE VOLCANICS,0.8052978843141132,False,120.17673237952624,135.1214984701238,5.291063546042391,-0.3684739394965497,-157.47021706597639,7.1490943577414425
[18984] SCOTT J. M. (2014)|samp. WAI-9,INTRAPLATE VOLCANICS,0.9108365817355152,False,136.38842028415672,133.3523103907139,4.595701393567516,-0.4164782224471182,-148.37780930164195,5.929405366483926
[18984] SCOTT J. M. (2014)|samp. WAN-1,INTRAPLATE VOLCANICS,0.7175252858441179,False,112.23700929646577,167.59847428649675,0.9287885210897233,3.276587374484464,-187.4958023499537,7.870065469012619
[18984] SCOTT J. M. (2014)|samp. WAN-2,INTRAPLATE VOLCANICS,0.8772479035661458,False,127.00347313990619,135.8073366002386,4.923061977831917,-1.5170386637616726,-149.62374642413874,3.976494399238968
[18984] SCOTT J. M. (2014)|samp. WAN-3,INTRAPLATE VOLCANICS,0.9232051957635468,False,126.88584145231403,141.5724080661613,4.347625409680248,-0.86744153000196,-154.66928128077598,4.525968903500935
[18990] DOUCET L. S. (2015)|samp. U85,CONTINENTAL FLOOD BASALT,1.1617158882783885,True,-31.097545774858418,-44.39319907083086,7.466254970491878,-0.8997482996339041,-155.05072272367192,16.70575286357181
[18990] DOUCET L. S. (2015)|samp. Uv-408/09,CONTINENTAL FLOOD BASALT,1.0819629136757036,True,-51.02982051836534,-52.04113729646656,6.943377578828173,4.478896681119144,-170.69281020758672,17.888813753945374
[18990] DOUCET L. S. (2015)|samp. Uv-421/09,CONTINENTAL FLOOD BASALT,1.1775234560263943,True,-51.539223084836294,-36.57246412954487,6.710702557724071,-2.0108309279641627,-97.19092524352004,16.490194913247848
[18990] DOUCET L. S. (2015)|samp. UV-573/09,CONTINENTAL FLOOD BASALT,1.0314089347079038,True,-47.21805733558176,-58.70552541612142,6.863379048772165,5.893152890600671,-200.23555382805307,18.79223530353283
[18990] DOUCET L. S. (2015)|samp. UV-585/09,CONTINENTAL FLOOD BASALT,0.6684355633630996,False,159.67412124261955,234.3028959154376,0.11001791761842483,-0.8082520588010151,-178.31294584797968,8.39839493663986
[18990] DOUCET L. S. (2015)|samp. Uv-KC-03/08,CONTINENTAL FLOOD BASALT,1.1306381957773513,True,-51.46823508697207,-55.31022719546081,7.442460021990046,3.811136189910963,-162.4217922604646,18.015436361555402
[19001] HAASE K. M. (2014)|samp. 9810,CONVERGENT MARGIN,0.6430133400769701,False,-45.09275357174181,-31.76145106536501,-8.74901024818845,-7.185624615370557,-284.1763406664219,3.963656565486608
[19001] HAASE K. M. (2014)|samp. 9818,CONVERGENT MARGIN,0.7074091860717303,False,-27.114309899528052,-11.672155718264435,-7.723266887175125,-2.353626424193135,-267.5093468624217,4.194558745069523
[19004] LI XI-YAO (2014)|samp. ST-04-03,INTRAPLATE VOLCANICS,0.7335068582824174,False,112.9298813234019,158.4130439336492,-1.3205176431016437,2.5226322812603517,-164.7376502121699,8.087357390163783
[19004] LI XI-YAO (2014)|samp. ST-05-02,INTRAPLATE VOLCANICS,0.9093289757038868,False,54.376250525654314,87.8101137369282,-0.23312356185686411,4.751610045603393,-180.61002583235654,3.654272016344226
[19004] LI XI-YAO (2014)|samp. ST-05-03,INTRAPLATE VOLCANICS,0.8251153377115884,False,31.677570131583707,97.08051023172436,-0.28228217252727283,3.9477379030202693,-157.53212755529057,8.005241189615182
[19004] LI XI-YAO (2014)|samp. ST-06-01,INTRAPLATE VOLCANICS,0.8566580435517138,False,26.379271506819578,66.83887124662397,-1.6015596169799018,3.281524499872882,-190.56479004838093,6.694538943016332
[19004] LI XI-YAO (2014)|samp. YX-14,INTRAPLATE VOLCANICS,0.7883257419979854,False,75.78614513304001,137.01256402742422,-3.146096213392763,4.747764968143446,-205.93865911003445,8.99065669653414
